Sharp County,Arkansas,307305
Stone County,Arkansas,227358
Union County,Arkansas,2463153
Van Buren County,Arkansas,354773
Washington County,Arkansas,11989877
White County,Arkansas,2160930
Woodruff County,Arkansas,232139
Yell County,Arkansas,536899
Alameda County,California,136360934
Alpine County,California,107899
Amador County,California,1579109
Butte County,California,8910788
Calaveras County,California,1341160
Colusa County,California,1495139
Contra Costa County,California,71307929
Del Norte County,California,783182
El Dorado County,California,7822988
Fresno County,California,44416463
Glenn County,California,1054825
Humboldt County,California,5378485
Imperial County,California,8764641
Inyo County,California,1136875
Kern County,California,45610265
Kings County,California,6531692
Lake County,California,1879722
Lassen County,California,1175128
Los Angeles County,California,729068982
Madera County,California,6201866
Marin County,California,29348325
Mariposa County,California,661568
Mendocino County,California,3395421
Merced County,California,9115222
Modoc County,California,459550
Mono County,California,931741
Monterey County,California,27384056
Napa County,California,10431615
Nevada County,California,4304596
Orange County,California,252885765
Placer County,California,23905563
Plumas County,California,895325
Riverside County,California,89428650
Sacramento County,California,92219821
San Benito County,California,2203403
San Bernardino County,California,94067565
San Diego County,California,233308848
San Francisco County,California,209160216
San Joaquin County,California,31111615
San Luis Obispo County,California,17070404
San Mateo County,California,150498469
Santa Barbara County,California,29567144
Santa Clara County,California,337195139
Santa Cruz County,California,15313067
Shasta County,California,8165870
Sierra County,California,91114
Siskiyou County,California,1660424
Solano County,California,31087660
Sonoma County,California,29572422
Stanislaus County,California,22651130
Sutter County,California,3574328
Tehama County,California,2026350
Trinity County,California,403924
Tulare County,California,18062395
Tuolumne County,California,2316248
Ventura County,California,51241052
Yolo County,California,14957942
Yuba County,California,3200163
Adams County,Colorado,28329940
Alamosa County,Colorado,673937
Arapahoe County,Colorado,49209130
Archuleta County,Colorado,509203
Baca County,Colorado,110108
Bent County,Colorado,125877
Boulder County,Colorado,29094426
Broomfield County,Colorado,8407182
Chaffee County,Colorado,806533
Cheyenne County,Colorado,160506
Clear Creek County,Colorado,457952
Conejos County,Colorado,194625
Costilla County,Colorado,83026
Crowley County,Colorado,116813
Custer County,Colorado,134297
Delta County,Colorado,854080
Denver County,Colorado,81049624
Dolores County,Colorado,99972
Douglas County,Colorado,20628928
Eagle County,Colorado,4020854
Elbert County,Colorado,710240
El Paso County,Colorado,37840469
Fremont County,Colorado,1417689
Garfield County,Colorado,3594513
Gilpin County,Colorado,529949
Grand County,Colorado,874602
Gunnison County,Colorado,992061
Hinsdale County,Colorado,36504
Huerfano County,Colorado,235864
Jackson County,Colorado,113016
Jefferson County,Colorado,33087319
Kiowa County,Colorado,63027
Kit Carson County,Colorado,354657
Lake County,Colorado,301885
La Plata County,Colorado,2992231
Larimer County,Colorado,20154078
Las Animas County,Colorado,523763
Lincoln County,Colorado,374067
Logan County,Colorado,915372
Mesa County,Colorado,6608274
Mineral County,Colorado,51511
Moffat County,Colorado,1029971
Montezuma County,Colorado,1235514
Montrose County,Colorado,1567762
Morgan County,Colorado,1473918
Otero County,Colorado,563765
Ouray County,Colorado,211465
Park County,Colorado,418525
Phillips County,Colorado,179835
Pitkin County,Colorado,2157733
Prowers County,Colorado,441055
Pueblo County,Colorado,6193982
Rio Blanco County,Colorado,565276
Rio Grande County,Colorado,462142
Routt County,Colorado,1871077
Saguache County,Colorado,187089
San Juan County,Colorado,32937
San Miguel County,Colorado,608089
Sedgwick County,Colorado,66137
Summit County,Colorado,2519914
Teller County,Colorado,991652
Washington County,Colorado,129148
Weld County,Colorado,19906701
Yuma County,Colorado,400574
Fairfield County,Connecticut,84666390
Hartford County,Connecticut,80323168
Litchfield County,Connecticut,8210484
Middlesex County,Connecticut,9286854
New Haven County,Connecticut,50178248
New London County,Connecticut,18105110
Tolland County,Connecticut,5170845
Windham County,Connecticut,4820173
Kent County,Delaware,7962310
New Castle County,Delaware,51261068
Sussex County,Delaware,13290477
District of Columbia,District of Columbia,137640835
Alachua County,Florida,14002876
Baker County,Florida,708601
Bay County,Florida,8689259
Bradford County,Florida,656501
Brevard County,Florida,26675569
Broward County,Florida,109668766
Calhoun County,Florida,281521
Charlotte County,Florida,6029633
Citrus County,Florida,4220549
Clay County,Florida,5502035
Collier County,Florida,20314457
Columbia County,Florida,2351424
DeSoto County,Florida,932826
Dixie County,Florida,299090
Duval County,Florida,67800544
Escambia County,Florida,15969568
Flagler County,Florida,2983204
Franklin County,Florida,355601
Gadsden County,Florida,1322038
Gilchrist County,Florida,406713
Glades County,Florida,311780
Gulf County,Florida,423982
Hamilton County,Florida,490401
Hardee County,Florida,1077046
Hendry County,Florida,1336732
Hernando County,Florida,4393701
Highlands County,Florida,2444048
Hillsborough County,Florida,95824192
Holmes County,Florida,360038
Indian River County,Florida,6962272
Jackson County,Florida,1327726
Jefferson County,Florida,249605
Lafayette County,Florida,143845
Lake County,Florida,10530820
Lee County,Florida,33175327
Leon County,Florida,14937496
Levy County,Florida,999977
Liberty County,Florida,344171
Madison County,Florida,430822
Manatee County,Florida,15573292
Marion County,Florida,10719426
Martin County,Florida,8408810
Miami-Dade County,Florida,156652960
Monroe County,Florida,4977763
Nassau County,Florida,3027363
Okaloosa County,Florida,12827458
Okeechobee County,Florida,1659922
Orange County,Florida,95230068
Osceola County,Florida,11298673
Palm Beach County,Florida,87532805
Pasco County,Florida,14018601
Pinellas County,Florida,51271222
Polk County,Florida,28191159
Putnam County,Florida,2260322
St. Johns County,Florida,10651468
St. Lucie County,Florida,10118688
Santa Rosa County,Florida,4939077
Sarasota County,Florida,22378834
Seminole County,Florida,23181555
Sumter County,Florida,3870905
Suwannee County,Florida,1159045
Taylor County,Florida,714551
Union County,Florida,316971
Volusia County,Florida,18956514
Wakulla County,Florida,754164
Walton County,Florida,3516795
Washington County,Florida,609174
Appling County,Georgia,1640681
Atkinson County,Georgia,236701
Bacon County,Georgia,351696
Baker County,Georgia,67127
Baldwin County,Georgia,1318847
Banks County,Georgia,381453
Barrow County,Georgia,2356917
Bartow County,Georgia,5026944
Ben Hill County,Georgia,534114
Berrien County,Georgia,391082
Bibb County,Georgia,8119117
Bleckley County,Georgia,226381
Brantley County,Georgia,262315
Brooks County,Georgia,480469
Bryan County,Georgia,1060652
Bulloch County,Georgia,2411794
Burke County,Georgia,3151465
Butts County,Georgia,681868
Calhoun County,Georgia,123167
Camden County,Georgia,1868844
Candler County,Georgia,275769
Carroll County,Georgia,5631810
Catoosa County,Georgia,1540070
Charlton County,Georgia,194800
Chatham County,Georgia,19060814
Chattahoochee County,Georgia,1657586
Chattooga County,Georgia,504683
Cherokee County,Georgia,8276981
Clarke County,Georgia,7536588
Clay County,Georgia,86606
Clayton County,Georgia,14760005
Clinch County,Georgia,235412
Cobb County,Georgia,55294855
Coffee County,Georgia,1543899
Colquitt County,Georgia,1480834
Columbia County,Georgia,4194324
Cook County,Georgia,364505
Coweta County,Georgia,5065569
Crawford County,Georgia,126375
Crisp County,Georgia,892438
Dade County,Georgia,406289
Dawson County,Georgia,851403
Decatur County,Georgia,839709
DeKalb County,Georgia,40935653
Dodge County,Georgia,418639
Dooly County,Georgia,373561
Dougherty County,Georgia,4465284
Douglas County,Georgia,4821583
Early County,Georgia,511655
Echols County,Georgia,42346
Effingham County,Georgia,2088491
Elbert County,Georgia,640870
Emanuel County,Georgia,673875
Evans County,Georgia,369884
Fannin County,Georgia,739705
Fayette County,Georgia,5414735
Floyd County,Georgia,3931938
Forsyth County,Georgia,10384201
Franklin County,Georgia,842726
Fulton County,Georgia,180141284
Gilmer County,Georgia,793667
Glascock County,Georgia,35634
Glynn County,Georgia,3981317
Gordon County,Georgia,2153848
Grady County,Georgia,639688
Greene County,Georgia,755743
Gwinnett County,Georgia,49521271
Habersham County,Georgia,1421755
Hall County,Georgia,11480934
Hancock County,Georgia,171038
Haralson County,Georgia,847372
Harris County,Georgia,543885
Hart County,Georgia,814416
Heard County,Georgia,1257258
Henry County,Georgia,6900016
Houston County,Georgia,7081347
Irwin County,Georgia,209027
Jackson County,Georgia,3615363
Jasper County,Georgia,270399
Jeff Davis County,Georgia,411096
Jefferson County,Georgia,546567
Jenkins County,Georgia,156912
Johnson County,Georgia,126048
Jones County,Georgia,415848
Lamar County,Georgia,405238
Lanier County,Georgia,130305
Laurens County,Georgia,1789768
Lee County,Georgia,721526
Liberty County,Georgia,3626066
Lincoln County,Georgia,137728
Long County,Georgia,158294
Lowndes County,Georgia,5062170
Lumpkin County,Georgia,836639
McDuffie County,Georgia,670696
McIntosh County,Georgia,250638
Macon County,Georgia,374595
Madison County,Georgia,473666
Marion County,Georgia,118030
Meriwether County,Georgia,581052
Miller County,Georgia,214350
Mitchell County,Georgia,743733
Monroe County,Georgia,1200373
Montgomery County,Georgia,141319
Morgan County,Georgia,905136
Murray County,Georgia,1201617
Muscogee County,Georgia,10654601
