White County,Arkansas,76822
Woodruff County,Arkansas,6269
Yell County,Arkansas,20263
Alameda County,California,1682353
Alpine County,California,1204
Amador County,California,40474
Butte County,California,211632
Calaveras County,California,45292
Colusa County,California,21839
Contra Costa County,California,1165927
Del Norte County,California,27743
El Dorado County,California,191185
Fresno County,California,1008654
Glenn County,California,28917
Humboldt County,California,136463
Imperial County,California,179702
Inyo County,California,19016
Kern County,California,909235
Kings County,California,152486
Lake County,California,68163
Lassen County,California,32730
Los Angeles County,California,10014009
Madera County,California,156255
Marin County,California,262321
Mariposa County,California,17131
Mendocino County,California,91601
Merced County,California,281202
Modoc County,California,8700
Mono County,California,13195
Monterey County,California,439035
Napa County,California,138019
Nevada County,California,102241
Orange County,California,3186989
Placer County,California,404739
Plumas County,California,19790
Riverside County,California,2418185
Sacramento County,California,1585055
San Benito County,California,64209
San Bernardino County,California,2181654
San Diego County,California,3298634
San Francisco County,California,873965
San Joaquin County,California,779233
San Luis Obispo County,California,282424
San Mateo County,California,764442
Santa Barbara County,California,448229
Santa Clara County,California,1936259
Santa Cruz County,California,270861
Shasta County,California,182155
Sierra County,California,3236
Siskiyou County,California,44076
Solano County,California,453491
Sonoma County,California,488863
Stanislaus County,California,552878
Sutter County,California,99633
Tehama County,California,65829
Trinity County,California,16112
Tulare County,California,473117
Tuolumne County,California,55620
Ventura County,California,843843
Yolo County,California,216403
Yuba County,California,81575
Adams County,Colorado,519572
Alamosa County,Colorado,16376
Arapahoe County,Colorado,655070
Archuleta County,Colorado,13359
Baca County,Colorado,3506
Bent County,Colorado,5650
Boulder County,Colorado,330758
Broomfield County,Colorado,74112
Chaffee County,Colorado,19476
Cheyenne County,Colorado,1748
Clear Creek County,Colorado,9397
Conejos County,Colorado,7461
Costilla County,Colorado,3499
Crowley County,Colorado,5922
Custer County,Colorado,4704
Delta County,Colorado,31196
Denver County,Colorado,715522
Dolores County,Colorado,2326
Douglas County,Colorado,357978
Eagle County,Colorado,55731
Elbert County,Colorado,26062
El Paso County,Colorado,730395
Fremont County,Colorado,48939
Garfield County,Colorado,61685
Gilpin County,Colorado,5808
Grand County,Colorado,15717
Gunnison County,Colorado,16918
Hinsdale County,Colorado,788
Huerfano County,Colorado,6820
Jackson County,Colorado,1379
Jefferson County,Colorado,582910
Kiowa County,Colorado,1446
Kit Carson County,Colorado,7087
Lake County,Colorado,7436
La Plata County,Colorado,55638
Larimer County,Colorado,359066
Las Animas County,Colorado,14555
Lincoln County,Colorado,5675
Logan County,Colorado,21528
Mesa County,Colorado,155703
Mineral County,Colorado,865
Moffat County,Colorado,13292
Montezuma County,Colorado,25849
Montrose County,Colorado,42679
Morgan County,Colorado,29111
Otero County,Colorado,18690
Ouray County,Colorado,4874
Park County,Colorado,17390
Phillips County,Colorado,4530
Pitkin County,Colorado,17358
Prowers County,Colorado,11999
Pueblo County,Colorado,168162
Rio Blanco County,Colorado,6529
Rio Grande County,Colorado,11539
Routt County,Colorado,24829
Saguache County,Colorado,6368
San Juan County,Colorado,705
San Miguel County,Colorado,8072
