White County,Arkansas,78523
Woodruff County,Arkansas,5939
Yell County,Arkansas,20063
Alameda County,California,1638142
Alpine County,California,1126
Amador County,California,41798
Butte County,California,207354
Calaveras County,California,46580
Colusa County,California,22093
Contra Costa County,California,1162179
Del Norte County,California,26571
El Dorado County,California,192440
Fresno County,California,1019899
Glenn County,California,28190
Humboldt County,California,134009
Imperial County,California,180585
Inyo County,California,18548
Kern County,California,916646
Kings County,California,153281
Lake County,California,67934
Lassen County,California,28838
Los Angeles County,California,9731837
Madera County,California,163402
Marin County,California,255706
Mariposa County,California,16996
Mendocino County,California,89354
Merced County,California,294402
Modoc County,California,8566
Mono County,California,13207
Monterey County,California,435637
Napa County,California,133444
Nevada County,California,102086
Orange County,California,3154563
Placer County,California,424599
Plumas County,California,19120
Riverside County,California,2503549
Sacramento County,California,1594506
San Benito County,California,68341
San Bernardino County,California,2200805
San Diego County,California,3285890
San Francisco County,California,819151
San Joaquin County,California,805909
San Luis Obispo County,California,282007
San Mateo County,California,734267
Santa Barbara County,California,443521
Santa Clara County,California,1897137
Santa Cruz County,California,263699
Shasta County,California,180656
Sierra County,California,3180
Siskiyou County,California,42941
Solano County,California,451060
Sonoma County,California,483366
Stanislaus County,California,553921
Sutter County,California,98457
Tehama County,California,64959
Trinity County,California,15684
Tulare County,California,480747
Tuolumne County,California,54123
Ventura County,California,833071
Yolo County,California,222919
Yuba County,California,85695
Adams County,Colorado,535677
Alamosa County,Colorado,16668
Arapahoe County,Colorado,661864
Archuleta County,Colorado,14167
Baca County,Colorado,3363
Bent County,Colorado,5712
Boulder County,Colorado,328419
Broomfield County,Colorado,77029
Chaffee County,Colorado,20608
Cheyenne County,Colorado,1738
Clear Creek County,Colorado,9123
Conejos County,Colorado,7511
Costilla County,Colorado,3624
Crowley County,Colorado,5616
Custer County,Colorado,5551
Delta County,Colorado,31760
Denver County,Colorado,721367
Dolores County,Colorado,2525
Douglas County,Colorado,385141
Eagle County,Colorado,54592
Elbert County,Colorado,28812
El Paso County,Colorado,746934
Fremont County,Colorado,50352
Garfield County,Colorado,62921
Gilpin County,Colorado,5923
Grand County,Colorado,15971
Gunnison County,Colorado,17334
Hinsdale County,Colorado,761
Huerfano County,Colorado,7041
Jackson County,Colorado,1316
Jefferson County,Colorado,577693
Kiowa County,Colorado,1376
Kit Carson County,Colorado,7032
Lake County,Colorado,7367
La Plata County,Colorado,56401
Larimer County,Colorado,371530
Las Animas County,Colorado,14394
Lincoln County,Colorado,5498
Logan County,Colorado,20660
Mesa County,Colorado,159690
Mineral County,Colorado,932
Moffat County,Colorado,13287
Montezuma County,Colorado,26600
Montrose County,Colorado,44319
Morgan County,Colorado,29806
Otero County,Colorado,18148
Ouray County,Colorado,5185
Park County,Colorado,18121
Phillips County,Colorado,4490
Pitkin County,Colorado,16690
Prowers County,Colorado,11789
Pueblo County,Colorado,169723
Rio Blanco County,Colorado,6586
Rio Grande County,Colorado,11194
Routt County,Colorado,25154
Saguache County,Colorado,6687
San Juan County,Colorado,797
San Miguel County,Colorado,7874
Sedgwick County,Colorado,2305
Summit County,Colorado,30824
Teller County,Colorado,24711
Washington County,Colorado,4859
Weld County,Colorado,360216
Yuma County,Colorado,9981
Capitol Planning Region,Connecticut,983326
Greater Bridgeport Planning Region,Connecticut,331300
Lower Connecticut River Valley Planning Region,Connecticut,176674
Naugatuck Valley Planning Region,Connecticut,457609
Northeastern Connecticut Planning Region,Connecticut,96834
